District,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Old Toronto,Alexandra Park,43.65075755,-79.40429786838209,1,Bar,Vegetarian / Vegan Restaurant,Café,Italian Restaurant,Bakery,Dessert Shop,Pizza Place,Mexican Restaurant,Coffee Shop,Sandwich Place
Old Toronto,The Annex,43.670337700000005,-79.407117,0,Pizza Place,Café,Coffee Shop,Vegetarian / Vegan Restaurant,Sandwich Place,Restaurant,Deli / Bodega,Tea Room,Bakery,Burger Joint
Old Toronto,Baldwin Village,43.655184573713846,-79.3973990318328,1,Café,Vegetarian / Vegan Restaurant,Bar,Vietnamese Restaurant,Dumpling Restaurant,Bakery,Mexican Restaurant,Chinese Restaurant,Art Gallery,Coffee Shop
Old Toronto,Cabbagetown,43.6644734,-79.36698609999999,4,Restaurant,Coffee Shop,Café,Park,Thai Restaurant,Diner,Grocery Store,Beer Store,Bakery,Pub
Old Toronto,CityPlace,43.639248200000004,-79.3963865,4,Coffee Shop,Restaurant,Café,Italian Restaurant,Gym,Park,Grocery Store,Beer Bar,Bakery,Speakeasy
Old Toronto,Chinatown,43.6529237,-79.3980316,1,Café,Vegetarian / Vegan Restaurant,Bar,Dumpling Restaurant,Coffee Shop,Ice Cream Shop,Bakery,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant
Old Toronto,Church and Wellesley,43.6655242,-79.3838011,4,Coffee Shop,Japanese Restaurant,Burger Joint,Sushi Restaurant,Café,Restaurant,Gay Bar,Diner,Pizza Place,Mediterranean Restaurant
Old Toronto,Corktown,43.6573709,-79.3565189,4,Coffee Shop,Gym / Fitness Center,Bakery,Breakfast Spot,Restaurant,Bar,Hotel,Park,Pub,Thai Restaurant
Old Toronto,Discovery District,43.6575555,-79.3894803,4,Coffee Shop,Bubble Tea Shop,Art Gallery,Café,Clothing Store,Ice Cream Shop,Japanese Restaurant,Bar,Sushi Restaurant,Chinese Restaurant
Old Toronto,Distillery District,43.6502947,-79.35954009999999,4,Coffee Shop,Park,Bakery,Theater,Café,Pub,Italian Restaurant,Restaurant,Breakfast Spot,Boat or Ferry
Old Toronto,The Entertainment District,43.6465862,-79.389723,4,Coffee Shop,Pizza Place,Hotel,Café,Sushi Restaurant,Italian Restaurant,Concert Hall,Thai Restaurant,Restaurant,Pub
Old Toronto,East Bayfront,43.79015913888244,-79.13557994902368,2,Cosmetics Shop,Supermarket,Bank,Food & Drink Shop,Pharmacy,Food Court,Farmers Market,Empanada Restaurant,Ethiopian Restaurant,Food Service
Old Toronto,Fashion District,43.6454561,-79.3949942,4,Restaurant,Coffee Shop,Italian Restaurant,Yoga Studio,Sandwich Place,Bar,Beer Bar,French Restaurant,Taco Place,Gym
Old Toronto,Financial District,43.64866395,-79.3815338905095,4,Coffee Shop,Hotel,Café,Restaurant,Gastropub,Deli / Bodega,American Restaurant,Steakhouse,Thai Restaurant,Concert Hall
Old Toronto,Garden District,43.656501899999995,-79.3771275,4,Coffee Shop,Clothing Store,Restaurant,Café,Italian Restaurant,Middle Eastern Restaurant,Gastropub,Cosmetics Shop,Ramen Restaurant,Fast Food Restaurant
Old Toronto,Grange Park,43.65219185,-79.39219412395741,4,Coffee Shop,Art Gallery,Café,Pizza Place,Japanese Restaurant,Sushi Restaurant,Cocktail Bar,Bar,Sandwich Place,Yoga Studio
Old Toronto,Harbord Village,43.6615225,-79.4097446,3,Korean Restaurant,Café,Restaurant,Bar,Bakery,Coffee Shop,Pizza Place,Sushi Restaurant,Dessert Shop,Asian Restaurant
Old Toronto,Harbourfront,43.640080100000006,-79.3801495,4,Coffee Shop,Hotel,Aquarium,Café,Brewery,Scenic Lookout,Restaurant,Bakery,Italian Restaurant,Park
Old Toronto,Kensington Market,43.6552136,-79.4022604,1,Café,Bar,Vegetarian / Vegan Restaurant,Bakery,Mexican Restaurant,Vietnamese Restaurant,Coffee Shop,Taco Place,Ramen Restaurant,Cocktail Bar
Old Toronto,Little Japan,43.700158022388,-79.52027774058286,2,Coffee Shop,Train Station,Pharmacy,Fried Chicken Joint,Park,Café,Soccer Field,Diner,Breakfast Spot,Laundromat
Old Toronto,Moss Park,43.654643799999995,-79.36972779999999,4,Coffee Shop,Italian Restaurant,Café,Restaurant,Theater,Breakfast Spot,Pizza Place,Hotel,Bakery,Diner
Old Toronto,Old Town,43.6590419,-79.43886090000001,1,Bar,Café,Bakery,Coffee Shop,Clothing Store,Beer Store,Mexican Restaurant,Caribbean Restaurant,Grocery Store,Park
Old Toronto,Quayside,43.6472502,-79.3581720783773,0,Coffee Shop,Theater,Park,Boat or Ferry,Bakery,Pub,Café,Circus,Liquor Store,Bank
Old Toronto,Queen Street West,43.6498523,-79.3911748,4,Coffee Shop,Pizza Place,Café,Restaurant,Thai Restaurant,Japanese Restaurant,Art Gallery,Vegetarian / Vegan Restaurant,Sushi Restaurant,Cosmetics Shop
Old Toronto,Regent Park,43.66070560000001,-79.3604569,4,Coffee Shop,Restaurant,Park,Thai Restaurant,Café,Pharmacy,Grocery Store,Food Truck,Farmers Market,Farm
Old Toronto,South Core,43.6421064,-79.3774455,4,Coffee Shop,Hotel,Café,Restaurant,Italian Restaurant,Deli / Bodega,Park,Bakery,Aquarium,Brewery
Old Toronto,St. James Town,43.6694032,-79.37270409999999,4,Coffee Shop,Café,Restaurant,Pizza Place,Grocery Store,Japanese Restaurant,Sandwich Place,Pub,Bank,Bakery
Old Toronto,St. Lawrence,43.649421999999994,-79.37142779999999,4,Coffee Shop,Italian Restaurant,Restaurant,Café,Gastropub,Gym,Hotel,Cocktail Bar,Cheese Shop,Pizza Place
Old Toronto,Toronto Islands,43.616196200000005,-79.36935820000001,2,Theme Park,American Restaurant,Pizza Place,Scenic Lookout,Harbor / Marina,Beach,Park,Beer Garden,Farm,Zoo
Old Toronto,Trefann Court,43.6564893,-79.3628297,4,Coffee Shop,Italian Restaurant,Café,Park,Pub,Bakery,Restaurant,Mexican Restaurant,Theater,Thai Restaurant
Old Toronto,University,43.6679307,-79.39625459999999,4,Café,Italian Restaurant,Coffee Shop,Boutique,Restaurant,French Restaurant,Park,Cosmetics Shop,Hotel,Clothing Store
Old Toronto,Yorkville,43.67138610000001,-79.3901677,4,Café,Italian Restaurant,Coffee Shop,French Restaurant,Restaurant,Sushi Restaurant,Hotel,Clothing Store,Indian Restaurant,Spa
Old Toronto,The Beaches,43.6710244,-79.296712,0,Beach,Pub,Japanese Restaurant,Coffee Shop,Bar,Breakfast Spot,Tea Room,Thai Restaurant,BBQ Joint,Pizza Place
Old Toronto,East Chinatown,43.6529237,-79.3980316,1,Café,Vegetarian / Vegan Restaurant,Bar,Dumpling Restaurant,Coffee Shop,Ice Cream Shop,Bakery,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant
Old Toronto,East Danforth,43.6863598,-79.30031579999999,2,Coffee Shop,Pizza Place,Bus Line,Ice Cream Shop,Indian Restaurant,Skating Rink,Sushi Restaurant,Furniture / Home Store,Fried Chicken Joint,Breakfast Spot
Old Toronto,Gerrard Street East,43.6625941,-79.36408940000001,4,Coffee Shop,Restaurant,Café,Thai Restaurant,Diner,Grocery Store,Indian Restaurant,Beer Store,Bakery,BBQ Joint
Old Toronto,Greektown,43.648690000000045,-79.38543999999995,4,Coffee Shop,Café,Steakhouse,American Restaurant,Restaurant,Hotel,Pub,Thai Restaurant,Pizza Place,Bar
Old Toronto,Leslieville,43.6627,-79.3328148,0,Coffee Shop,Bar,Pizza Place,Sandwich Place,Café,Italian Restaurant,Diner,Bakery,Fast Food Restaurant,Grocery Store
Old Toronto,Main Square,43.68774405,-79.30046097372959,2,Coffee Shop,Bus Line,Chinese Restaurant,Skating Rink,Ice Cream Shop,Pizza Place,Breakfast Spot,Fish & Chips Shop,Fast Food Restaurant,Fried Chicken Joint
Old Toronto,Playter Estates,43.68015000000002,-79.35524999999996,0,Greek Restaurant,Coffee Shop,Pub,Ice Cream Shop,Café,Furniture / Home Store,Italian Restaurant,Grocery Store,Pizza Place,Yoga Studio
Old Toronto,Port Lands,43.6430648,-79.3506012,2,Boat or Ferry,Harbor / Marina,Athletics & Sports,Circus,Pool,Golf Driving Range,Trail,BBQ Joint,Beach,Supermarket
Old Toronto,Riverdale,43.6654704,-79.35259359999999,2,Vietnamese Restaurant,Bakery,Café,Park,Coffee Shop,Chinese Restaurant,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Breakfast Spot,Brewery
Old Toronto,Upper Beaches,43.6710244,-79.296712,0,Beach,Pub,Japanese Restaurant,Coffee Shop,Bar,Breakfast Spot,Tea Room,Thai Restaurant,BBQ Joint,Pizza Place
Old Toronto,Bedford Park,43.7373876,-79.4109253,2,Bakery,Accessories Store,Grocery Store,Pharmacy,Pub,Coffee Shop,Restaurant,Sandwich Place,Seafood Restaurant,Shoe Store
Old Toronto,Casa Loma,43.678101500000004,-79.409415775,0,Coffee Shop,Sandwich Place,Park,Café,Pizza Place,Jewish Restaurant,Vegetarian / Vegan Restaurant,History Museum,Burger Joint,Mexican Restaurant
Old Toronto,Chaplin Estates,43.7025981,-79.4032704,4,Coffee Shop,Sushi Restaurant,Italian Restaurant,Park,Fast Food Restaurant,Bakery,Bookstore,Japanese Restaurant,Trail,Mexican Restaurant
Old Toronto,Davisville Village,43.7043123,-79.38851690000001,0,Coffee Shop,Sandwich Place,Fast Food Restaurant,Café,Dessert Shop,Gym,Pizza Place,Gastropub,Restaurant,Italian Restaurant
