District,Neighbourhood,Location,Latitude,Longitude
Old Toronto,Alexandra Park,"Alexandra Park, Old Toronto, Toronto, CANADA",43.65075755,-79.4042978683821
Old Toronto,The Annex,"The Annex, Old Toronto, Toronto, CANADA",43.6703377,-79.407117
Old Toronto,Baldwin Village,"Baldwin Village, Old Toronto, Toronto, CANADA",43.65518457371384,-79.39739903183279
Old Toronto,Cabbagetown,"Cabbagetown, Old Toronto, Toronto, CANADA",43.6644734,-79.3669861
Old Toronto,CityPlace,"CityPlace, Old Toronto, Toronto, CANADA",43.6392482,-79.3963865
Old Toronto,Chinatown,"Chinatown, Old Toronto, Toronto, CANADA",43.6529237,-79.3980316
Old Toronto,Church and Wellesley,"Church and Wellesley, Old Toronto, Toronto, CANADA",43.6655242,-79.3838011
Old Toronto,Corktown,"Corktown, Old Toronto, Toronto, CANADA",43.6573709,-79.3565189
Old Toronto,Discovery District,"Discovery District, Old Toronto, Toronto, CANADA",43.6575555,-79.3894803
Old Toronto,Distillery District,"Distillery District, Old Toronto, Toronto, CANADA",43.6502947,-79.3595401
Old Toronto,The Entertainment District,"The Entertainment District, Old Toronto, Toronto, CANADA",43.6465862,-79.389723
Old Toronto,East Bayfront,"East Bayfront, Old Toronto, Toronto, CANADA",43.79015913888244,-79.13557994902368
Old Toronto,Fashion District,"Fashion District, Old Toronto, Toronto, CANADA",43.6454561,-79.3949942
Old Toronto,Financial District,"Financial District, Old Toronto, Toronto, CANADA",43.64866395,-79.3815338905095
Old Toronto,Garden District,"Garden District, Old Toronto, Toronto, CANADA",43.6565019,-79.3771275
Old Toronto,Grange Park,"Grange Park, Old Toronto, Toronto, CANADA",43.65219185,-79.3921941239574
Old Toronto,Harbord Village,"Harbord Village, Old Toronto, Toronto, CANADA",43.6615225,-79.4097446
Old Toronto,Harbourfront,"Harbourfront, Old Toronto, Toronto, CANADA",43.6400801,-79.3801495
Old Toronto,Kensington Market,"Kensington Market, Old Toronto, Toronto, CANADA",43.6552136,-79.4022604
Old Toronto,Little Japan,"Little Japan, Old Toronto, Toronto, CANADA",43.700158022388,-79.52027774058286
Old Toronto,Moss Park,"Moss Park, Old Toronto, Toronto, CANADA",43.6546438,-79.3697278
Old Toronto,Old Town,"Old Town, Old Toronto, Toronto, CANADA",43.6590419,-79.4388609
Old Toronto,Quayside,"Quayside, Old Toronto, Toronto, CANADA",43.6472502,-79.3581720783773
Old Toronto,Queen Street West,"Queen Street West, Old Toronto, Toronto, CANADA",43.6498523,-79.3911748
Old Toronto,Regent Park,"Regent Park, Old Toronto, Toronto, CANADA",43.6607056,-79.3604569
Old Toronto,South Core,"South Core, Old Toronto, Toronto, CANADA",43.6421064,-79.3774455
Old Toronto,St. James Town,"St. James Town, Old Toronto, Toronto, CANADA",43.6694032,-79.3727041
Old Toronto,St. Lawrence,"St. Lawrence, Old Toronto, Toronto, CANADA",43.649422,-79.3714278
Old Toronto,Toronto Islands,"Toronto Islands, Old Toronto, Toronto, CANADA",43.6161962,-79.3693582
Old Toronto,Trefann Court,"Trefann Court, Old Toronto, Toronto, CANADA",43.6564893,-79.3628297
Old Toronto,University,"University, Old Toronto, Toronto, CANADA",43.6679307,-79.3962546
Old Toronto,Yorkville,"Yorkville, Old Toronto, Toronto, CANADA",43.6713861,-79.3901677
Old Toronto,The Beaches,"The Beaches, Old Toronto, Toronto, CANADA",43.6710244,-79.296712
Old Toronto,East Chinatown,"East Chinatown, Old Toronto, Toronto, CANADA",43.6529237,-79.3980316
Old Toronto,East Danforth,"East Danforth, Old Toronto, Toronto, CANADA",43.6863598,-79.3003158
Old Toronto,Gerrard Street East,"Gerrard Street East, Old Toronto, Toronto, CANADA",43.6625941,-79.3640894
Old Toronto,Greektown,"Greektown, Old Toronto, Toronto, CANADA",43.648690000000045,-79.38543999999996
Old Toronto,Leslieville,"Leslieville, Old Toronto, Toronto, CANADA",43.6627,-79.3328148
